GP,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME,PLAYER_NAME,SEASON_START_YEAR
30.503922,9.661265,1.1837823,2.5096173,0.13730371,0.36619103,0.53275573,0.8452672,0.7067735,1.4847552,2.1702013,0.42011964,0.24193141,0.38867182,0.45828867,1.2435746,3.1144814,Damian Jones,2025
56.127018,31.621704,7.7217627,16.75657,3.200315,8.734671,5.39797,6.160229,0.45739788,4.0000234,4.2308054,6.83686,0.7992134,0.3284355,2.863873,1.5425514,24.814491,Damian Lillard,2025
67.91118,23.85172,4.094218,7.35404,0.03603667,0.18488324,1.551527,2.284193,2.4339728,4.562222,6.7702193,1.3121929,0.6614983,1.6512657,1.0911162,2.6938243,9.412854,Daniel Gafford,2025
36.04366,11.702434,1.5532897,3.249225,0.22817174,0.7546481,0.40415907,0.5045432,0.8981056,1.8739462,2.7731657,0.6108489,0.26658246,0.56654984,0.4741907,1.4956683,4.1614842,Daniel Theis,2025
32.929726,14.227476,1.5947986,4.1190844,0.8198988,2.158538,1.0733145,1.2384183,0.30123794,1.834713,2.145307,0.759776,0.24639258,0.1015414,0.37100363,0.8001807,5.389351,Danilo Gallinari,2025
17.449799,9.825133,0.88725877,2.3633184,0.51518977,1.7692677,0.18441916,0.21940541,0.24986565,1.1732244,1.2738185,0.7160175,0.41447142,0.18800737,0.32412618,0.9141857,2.8198538,Danny Green,2025
44.417774,16.738544,2.1874948,5.161004,0.7164786,2.0643592,0.758565,0.9638754,0.356386,1.7317691,2.0364265,2.1808016,0.45044363,0.12089965,0.9113348,1.3287027,5.701686,Danté Exum,2025
32.391056,12.469191,1.2115844,3.1362443,0.5525522,1.5809488,0.61260664,0.7466818,0.37248158,1.2647464,1.5953078,0.7219509,0.3363662,0.15009105,0.4467165,1.1120307,3.7566152,Danuel House Jr.,2025
50.27189,17.468966,2.3173432,5.4265914,1.0201409,2.7414656,0.97641414,1.2251298,0.8801132,2.8785295,3.738279,1.669455,0.41911888,0.10101223,0.9791686,1.6523807,6.6070848,Dario Šarić,2025
29.667322,11.993755,1.6097653,3.550165,0.41468298,1.4170592,0.6750314,0.8450918,0.54925966,1.922998,2.3611956,0.96683306,0.31708205,0.36949298,0.5039023,1.0529616,3.8028026,Dariq Whitehead,2025
26.081345,12.541073,1.8562704,3.6330373,0.3420052,1.1737326,0.8651609,1.0555053,0.6680689,2.1195443,2.9217122,0.8007585,0.37607703,0.4954511,0.47456193,0.72069883,4.5954943,Darius Bazley,2025
61.855995,32.86643,6.6894445,15.413343,2.3536358,6.2685127,2.863411,3.434547,0.5211508,2.3614798,2.8857298,6.377511,1.1464264,0.13354003,2.6469545,1.9191554,18.705883,Darius Garland,2025
28.58835,12.923557,1.8193241,4.2509828,0.58647126,1.7422458,0.5602404,0.7880082,0.47101283,1.3964024,1.8732634,1.0292854,0.45564848,0.096673876,0.58805513,1.0826557,4.694205,David Duke Jr.,2025
